BillingCity;BillingCountry;BillingPostalCode;BillingState;BillingStreet;CEP__c;Codigo_do_Cliente_SAP__c;CodigoClienteSAPRecebedor_DFV__c;Inscricao_Estadual__c;Inscricao_Municipal__c;Inscricao_SUFRAMA__c;Inscricao_INSS_CEI__c;RNE__c;UFCapex__c;Data_abertura_empresa__c;Data_Expedicao_RNE__c;Status_da_Conta__c;Caldeira__c;Corporativo__c;Cozinha_Industrial__c;Ecodriyer__c;Forno__c;Gerador_Eletrico__c;Key_Account__c;Orgao_Publico__c;SMG__c;TPC__c;Usina_de_Asfalto__c;Venda_Spot__c;Condicao_de_Pagamento__c;Escritorio_de_Vendas2__c;Grupo_Clientes2__c;Grupo_de_Contas2__c;Subsegmento__c;Estabelecimento_Unidade_de_Negocio_SHV__c;Consultor_Remunerado_pela_Prospec_o__c;OwnerId;Vendedor_VIc;Latitude__c;Longitude__c;Mesorregiao__c;BairroCapexc;Cidade_Satelite__c;Complemento2c;Nome_Fantasia_Apelidoc;Condicoes_de_abastecimentoc;Rua_nc;Mes_de_Reajustec;Cidadec;Paisc;Name;Regiao__c;Numero_do_Documento__c;Numero__c;Codigo_Parceiro_Negocio__c;RecordTypeId;Segmentoc;ShippingCity;ShippingCountry;ShippingPostalCode;ShippingState;ShippingStreet;Tipoc;Ativacao_de_clientec;Inativacao_de_Clientec;Dados_Adicionaisc;Politica_de_Relacionamentoc;Volume_Potencial__c;Id
SAO PAULO;BR;08440-470;SP;"RUA CRUZ DO ESPIRITO SANTO 360 VILA CHABILANDIA ";08440-470;0001319676;0001319676;ISENTO;ISENTO;;00000000000000000000;NULL;SP;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hlIAB;a0xF000001OjAB0IAN;a15F0000003QQaZIAW;a17F000000R17A5IAJ;a0CF000000OdDvpMAF;a0BA000000Bkul4MAB;005F0000001vkhiIAA;005F00000043cxYIAQ;NULL;;;NULL;VILA CHABILANDIA;;;CONDOMINIO RESIDENCIAL LEONARDO DA;Entregando;RUA CRUZ DO ESPIRITO SANTO;;SAO PAULO;BR;CONDOMINIO RESIDENCIAL LEONARDO DA;NULL;05021812000137;360;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;SAO PAULO;BR;08440-470;SP;"RUA CRUZ DO ESPIRITO SANTO 360 VILA CHABILANDIA ";Pessoa Jurídica;;;;B;0;001F000001VYmTzIAL
LONDRINA;BR;86036-590;PR;R ILDEFONSO DOS SANTOS 300 RESIDENCIAL SANTA CLARA;86036-590;0001019594;0001019594;ISENTO;ISENTO;;00000000000000000000;NULL;PR;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABIIA3;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvkMAF;a0BA000000Bkuk3MAB;005F0000003QdNEIA0;005F00000043PLkIAM;NULL;;;NULL;RESIDENCIAL SANTA CLARA;;CS;REINALDO ALCIDES PENHARBEL;Entregando;R ILDEFONSO DOS SANTOS;;LONDRINA;BR;REINALDO ALCIDES PENHARBEL;NULL;48962163934;300;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;LONDRINA;BR;86036-590;PR;R ILDEFONSO DOS SANTOS 300 RESIDENCIAL SANTA CLARA;Pessoa Física;;;;;0.029;001A000000d7DyhIAE
FARROUPILHA;BR;95178-070;RS;AV DAS INDUSTRIAS 400 INDUSTRIAL PAVLH A2;95178-070;0003748846;0003748846;0450110621;ISENTO;;00000000000000000000;NULL;RS;2019-10-04;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;NULL;a0xF000001OjABKIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDw6MAF;a0BA000000Bkuj9MAB;005F0000001czmkIAA;005F0000001czmkIAA;NULL;;;NULL;INDUSTRIAL;;PAVLH A2;SOPRANO IND ELETROMETALURGICA EIREL;Entregando;AV DAS INDUSTRIAS;01 JANEIRO;FARROUPILHA;BR;SOPRANO IND ELETROMETALURGICA EIREL;NULL;88634977001850;400;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;FARROUPILHA;BR;95178-070;RS;AV DAS INDUSTRIAS 400 INDUSTRIAL PAVLH A2;Pessoa Jurídica;SUCESSÃO (TROCA TITULARIDADE);;;;0.320;0011Y000031l6cRQAQ
BELO HORIZONTE;BR;30380-342;MG;RUA GUAICUI 700 LUXEMBURGO WOODS SHOPPING;30380-342;0003648073;0003648073;0627053962112;ISENTO;;00000000000000000000;NULL;MG;2018-03-16;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hoIAB;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwEMAV;a0BA000000BkujYMAR;005F0000001d3IeIAI;005F0000001d3H2IAI;NULL;;;NULL;LUXEMBURGO;;WOODS SHOPPING;ORGANIZACAO VERDEMAR LTDA;Entregando;RUA GUAICUI;09 SETEMBRO;BELO HORIZONTE;BR;ORGANIZACAO VERDEMAR LTDA;NULL;65124307002193;700;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;BELO HORIZONTE;BR;30380-342;MG;RUA GUAICUI 700 LUXEMBURGO WOODS SHOPPING;Pessoa Jurídica;NOVO NEGÓCIO;;;C;3.6;0012A00002NHVN5QAP
CAMBUI;BR;37600-000;MG;"R CORONEL LAMBERT 761 CENTRO ";37600-000;0003114521;0003114521;0022211070043;ISENTO;;00000000000000000000;NULL;MG;2013-09-11;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjAB3IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvhMAF;a0BA000000BkukrMAB;NULL;005F0000007hON9IAM;005F0000007hON9IAM;;;NULL;CENTRO;;;SPLASH GAS E AGUA;Retirando;R CORONEL LAMBERT;;CAMBUI;BR;GRG COMERCIO E DIST DE GAS LTDA ME;NULL;18855688000157;761;NULL;012A0000000ernRIAQ;a0AF000000KjxgDMAR;CAMBUI;BR;37600-000;MG;"R CORONEL LAMBERT 761 CENTRO ";Pessoa Jurídica;NOVO NEGÓCIO;;;;00050;001F0000012FNNwIAO
MAIRIPORA;BR;07661-000;SP;ROD FERNAO DIAS 53800 TERRA PRETA TERRA PRETA GALP;05797-000;0003872789;0003872795;433172880110;ISENTO;;00000000000000000000;NULL;SP;2010-03-23;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjAB0IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvsMAF;a0BA000000BkukoMAB;0051Y00000AvvOtQAJ;0054z000009OyIEAA0;NULL;;;NULL;JARDIM IPÊ;;EE Pres Café Filho;TOP QUALITY ALIMENTACAO LTDA;Entregando;RUA GASTÃO RAUL DE FORTON BOUSQUET;07 JULHO;SAO PAULO;BR;TOP QUALITY ALIMENTACAO LTDA;NULL;11901992000144;401;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;SAO PAULO;BR;05797-000;SP;"RUA GASTÃO RAUL DE FORTON BOUSQUET 401 JARDIM IPÊ ";Pessoa Jurídica;NOVO NEGÓCIO;;;;0.300;0014z00001f62FfAAI
LAURO DE FREITAS;BR;42700-000;BA;R DR GERINO DE SOUZA FILHO  ESTRADA DO COCO FIM DE;42700-000;0003657181;0003657181;ISENTO;ISENTO;;00000000000000000000;NULL;BA;2009-01-13;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABUIA3;a15F0000003QQafIAG;a17F000000R17A0IAJ;a0CF000000OdDvrMAF;a0BA000000BkujLMAR;NULL;005A0000001KwVdIAK;NULL;;;NULL;ESTRADA DO COCO;;FIM DE LINHA DO CAJI;COND PARQUE SOLAR DO BOSQUE;Entregando;R DR GERINO DE SOUZA FILHO;08 AGOSTO;LAURO DE FREITAS;BR;MRV ENGENHARIA E PARTICIPACOES SA;NULL;08343492002254;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;LAURO DE FREITAS;BR;42700-000;BA;R DR GERINO DE SOUZA FILHO  ESTRADA DO COCO FIM DE;Pessoa Jurídica;NOVO NEGÓCIO;;;;5.000;0012A00002RoZfdQAF
JOAO PESSOA;BR;58038-000;PB;"AV JOAO MAURICIO 675 MANAIRA ";58038-000;0003867458;0003867458;163039224;ISENTO;;00000000000000000000;NULL;PB;2017-10-26;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABYIA3;a15F0000003QQadIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0B4z00001PwiLwEAJ;0051Y00000BgLN5QAN;0051Y00000Bf6hSQAR;NULL;;;NULL;MANAIRA;;;GABRIEL HENRIQUE ALVES TAVARES MAGA;Entregando;AV JOAO MAURICIO;07 JULHO;JOAO PESSOA;BR;GABRIEL HENRIQUE ALVES TAVARES MAGA;NULL;28937497000198;675;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;JOAO PESSOA;BR;58038-000;PB;"AV JOAO MAURICIO 675 MANAIRA ";Pessoa Jurídica;NOVO NEGÓCIO;;;C;0.00;0014z00001fDYicAAG
SAO JOSE DOS PINHAIS;BR;83065-370;PR;RUA ANTONIO BIANCHETTI 501 AFONSO PENA TERREO;83065-370;0001963465;0001963465;1050783150;ISENTO;;00000000000000000000;NULL;PR;1995-12-27;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABGIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDw6MAF;a0BA000000BkujyMAB;005F0000005tiP1IAI;0051Y00000ARvauQAD;NULL;;;NULL;AFONSO PENA;;TERREO;BETA;Entregando;RUA ANTONIO BIANCHETTI;03 MARÇO;SAO JOSE DOS PINHAIS;BR;BETA FERRAMENTARIA E USINAGEM LTDA;NULL;00979768000159;501;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;SAO JOSE DOS PINHAIS;BR;83065-370;PR;RUA ANTONIO BIANCHETTI 501 AFONSO PENA TERREO;Pessoa Jurídica;NOVO NEGÓCIO;;;;0.08;001F000001imJnFIAU
CHAPECO;BR;89801-040;SC;"R RUI BARBOSA E  CENTRO ";89801-040;0003769259;0003769259;ISENTO;ISENTO;;00000000000000000000;NULL;SC;2019-03-06;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABKIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvpMAF;a0BA000000BkujCMAR;0051Y00000AYOJaQAP;0051Y00000AYOJaQAP;NULL;;;NULL;CENTRO;;;RESIDENCIAL MAGIRA;Entregando;R RUI BARBOSA E;05 MAIO;CHAPECO;BR;RESIDENCIAL MAGIRA;NULL;34987303000161;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;CHAPECO;BR;89801-040;SC;"R RUI BARBOSA E  CENTRO ";Pessoa Jurídica;SUCESSÃO (TROCA TITULARIDADE);;;C;0.330;0011Y000035j3QQQAY
BELO HORIZONTE;BR;30840-490;MG;R DESEMBARGADOR JOSE SATYRO 340 CASTELO LOTE 040 Q;30840-490;0001175309;0001175309;ISENTO;ISENTO;;00000000000000000000;NULL;MG;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hvIAB;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvpMAF;a0BA000000BkujYMAR;005F0000007f7eTIAQ;005F0000007f7eTIAQ;NULL;;;NULL;CASTELO;;LOTE 040 QUADRA 067;EDIFICIO CASTELO IDEALE;Entregando;R DESEMBARGADOR JOSE SATYRO;;BELO HORIZONTE;BR;CONDOMINIO DO EDIFICIO CASTELO IDEA;NULL;10377186000156;340;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;BELO HORIZONTE;BR;30840-490;MG;R DESEMBARGADOR JOSE SATYRO 340 CASTELO LOTE 040 Q;Pessoa Jurídica;;;;;0.03;001F000000kRIkTIAW
BELO HORIZONTE;BR;30360-670;MG;"AV RAJA GABAGLIA 4987 SANTA LUCIA ";30575-090;0001188185;0001937333;0622703730097;ISENTO;;00000000000000000000;NULL;MG;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvqMAF;a0BA000000BkujYMAR;005F00000058bqaIAA;005F0000001d3IpIAI;NULL;;;NULL;BURITIS;;;CONSTRUTORA OLIVEIRA BARBOSA LTDA;Entregando;R FIDELIS MARTINS;;BELO HORIZONTE;BR;CONSTRUTORA OLIVEIRA BARBOSA LTDA;NULL;20518700000180;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;BELO HORIZONTE;BR;30575-090;MG;"R FIDELIS MARTINS  BURITIS ";Pessoa Jurídica;;;;D;0.67;001F000000n5eNrIAI
GUARULHOS;BR;07111-010;SP;"R SILVIO BARBOSA 427 CAMARGOS ";07111-010;0001037296;0001037296;ISENTO;ISENTO;;00000000000000000000;NULL;SP;NULL;NULL;Ativo;false;false;false;false;true;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjAB0IAN;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvkMAF;a0BA000000Bkul4MAB;005F0000001vkhkIAA;005F0000006F0eaIAC;NULL;;;NULL;CAMARGOS;;;NOBORO TERUIA;Entregando;R SILVIO BARBOSA;;GUARULHOS;BR;NOBORO TERUIA;NULL;20944560806;427;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;GUARULHOS;BR;07111-010;SP;"R SILVIO BARBOSA 427 CAMARGOS ";Pessoa Física;;;;;1.612;001A000000d7DkhIAE
VOLTA REDONDA;BR;27240-560;RJ;"AV DE PAULO ERLEI ALVES ABRANTES 8329 TRES POCOS ";27240-560;0003616429;0003616429;86901757;ISENTO;;00000000000000000000;NULL;RJ;2012-12-17;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hWIAR;a0xF000001OjAB8IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvoMAF;a0BA000000Bkuk8MAB;0054z00000AKBnxAAH;0054z00000AKBnxAAH;NULL;;;NULL;TRES POCOS;;;MERCADO DAS BEBIDAS;Entregando;AV DE PAULO ERLEI ALVES ABRANTES;12 DEZEMBRO;VOLTA REDONDA;BR;SILVIA DIAS GOMES;NULL;17308555000106;8329;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;VOLTA REDONDA;BR;27240-560;RJ;"AV DE PAULO ERLEI ALVES ABRANTES 8329 TRES POCOS ";Pessoa Jurídica;NOVO NEGÓCIO;;;;0;0012A00002HIycMQAT
