BillingCity;BillingCountry;BillingPostalCode;BillingState;BillingStreet;CEP__c;Codigo_do_Cliente_SAP__c;CodigoClienteSAPRecebedor_DFV__c;Inscricao_Estadual__c;Inscricao_Municipal__c;Inscricao_SUFRAMA__c;Inscricao_INSS_CEI__c;RNE__c;UFCapex__c;Data_abertura_empresa__c;Data_Expedicao_RNE__c;Status_da_Conta__c;Caldeira__c;Corporativo__c;Cozinha_Industrial__c;Ecodriyer__c;Forno__c;Gerador_Eletrico__c;Key_Account__c;Orgao_Publico__c;SMG__c;TPC__c;Usina_de_Asfalto__c;Venda_Spot__c;Condicao_de_Pagamento__c;Escritorio_de_Vendas2__c;Grupo_Clientes2__c;Grupo_de_Contas2__c;Subsegmento__c;Estabelecimento_Unidade_de_Negocio_SHV__c;Consultor_Remunerado_pela_Prospec_o__c;OwnerId;Vendedor_VI__c;Name;Latitude__c;Longitude__c;Mesorregiao__c;BairroCapex__c;Cidade_Satelite__c;Complemento2__c;Nome_Fantasia_Apelido__c;Condicoes_de_abastecimento__c;Rua_n__c;Mes_de_Reajuste__c;Cidade__c;Pais__c;Regiao__c;Numero_do_Documento__c;Numero__c;Codigo_Parceiro_Negocio__c;RecordTypeId;Segmento__c;ShippingCity;ShippingCountry;ShippingPostalCode;ShippingState;ShippingStreet;Tipo__c;Ativacao_de_cliente__c;Inativacao_de_cliente__c;Dados_Adicionais__c;Politica_de_Relacionamento__c;Volume_Potencial__c;Phone;Email__c
GOIANIA;BR;74435-300;GO;AV ANHANGUERA QD 582 LT 01  AEROVIARIO PVMT 1 1201/1202;74435-300;0003992138;;109666780;ISENTO;;00000000000000000000;;GO;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABOIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuivMAB;005F0000001vqtBIAQ;005F0000002kVtrIAE;;ZAMP S A;;;;AEROVIARIO;;PVMT 1 1201/1202;FILIAL PLK SHOP CERRADO;;AV ANHANGUERA QD 582 LT 01;12 DEZEMBRO;GOIANIA;BR;;13574594128826;;10428232.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;GOIANIA;BR;74435-300;GO;AV ANHANGUERA QD 582 LT 01  AEROVIARIO PVMT 1 1201/1202;Pessoa Jurídica;;;;;0;(62)99834-2812;MARCELO.CARVALHO@ZAMP.COM.BR
CATALAO;BR;75709-140;GO;R JOCELIM GOMES PIRES 2300 NOSSA SENHORA DE FATIMA UNICO LJ 107/108;75709-140;0003989833;;109236343;ISENTO;;00000000000000000000;;GO;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABEIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujWMAR;005F0000001d3IjIAI;005F0000007fBn0IAE;;SPEED JACK BUTIQUIM E RESTAURANTE L;;;;NOSSA SENHORA DE FATIMA;;UNICO LJ 107/108;SPEED JACK BUTIQUIM;;R JOCELIM GOMES PIRES;12 DEZEMBRO;CATALAO;BR;;46247711000166;2300;10426561.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;CATALAO;BR;75709-140;GO;R JOCELIM GOMES PIRES 2300 NOSSA SENHORA DE FATIMA UNICO LJ 107/108;Pessoa Jurídica;;;;;0;(64)99284-0610;FINANCEIRO@GENERALSPEED.COM.BR
GOIANIA;BR;74055-045;GO;AVENIDA INDEPENDENCIA QD 140 LT 01 06 3392 SETOR CENTRAL PISO 2 AL2007A;74055-045;0003992181;;109949668;ISENTO;;00000000000000000000;;GO;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABOIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuivMAB;005F0000003Sm2ZIAS;0054z000009OIhvAAG;;JOHNS BISTRO E CAFE LTDA;;;;SETOR CENTRAL;;PISO 2 AL2007A;JHONS BRISTO;;AVENIDA INDEPENDENCIA QD 140 LT 01 06;12 DEZEMBRO;GOIANIA;BR;;46138373000205;3392;10428257.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;GOIANIA;BR;74055-045;GO;AVENIDA INDEPENDENCIA QD 140 LT 01 06 3392 SETOR CENTRAL PISO 2 AL2007A;Pessoa Jurídica;;;;;0;(62)98218-9798;JOAO.LUIZRSF@GMAIL.COM
UBERLANDIA;BR;38408-902;MG;AV JOAO NAVES DE AVILA 1331 SANTA MONICA 1 LOJA 233;38408-902;0003992672;;30204641594;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABEIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujWMAR;005F0000001wEcVIAU;005F0000007fBn0IAE;;PIMENTA VERDE ALIMENTOS LTDA;;;;SANTA MONICA;;1 LOJA 233;PIMENTA VERDE ALIMENTOS LTDA;;AV JOAO NAVES DE AVILA;12 DEZEMBRO;UBERLANDIA;BR;;09060964027642;1331;10427963.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;UBERLANDIA;BR;38408-902;MG;AV JOAO NAVES DE AVILA 1331 SANTA MONICA 1 LOJA 233;Pessoa Jurídica;;;;;0;(11)99351-9380;WILLIAM.BARBOSA@INTERNATIONALMEALCOMPANY.COM
APARECIDA DE GOIANIA;BR;74915-515;GO;AV RIO VERDE QUADRA 102 104  VILA SAO TOMAZ UNICO LOJA 293;74915-515;0003990876;;109284518;ISENTO;;00000000000000000000;;GO;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABOIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuivMAB;005F0000001vq03IAA;005F0000001vq05IAA;;MIRANDA E HAAS ALIMENTOS LTDA;;;;VILA SAO TOMAZ;;UNICO LOJA 293;1890 BISTRO;;AV RIO VERDE QUADRA 102 104;12 DEZEMBRO;APARECIDA DE GOIANIA;BR;;46400559000100;;10427350.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;APARECIDA DE GOIANIA;BR;74915-515;GO;AV RIO VERDE QUADRA 102 104  VILA SAO TOMAZ UNICO LOJA 293;Pessoa Jurídica;;;;;0;(62)98290-8621;CONTATO@1890BISTRO.COM.BR
UBERLANDIA;BR;38411-159;MG;AVENIDA DOS VINHEDOS 71 MORADA DA COLINA UNICO LJ 302;38411-159;0003992685;;44926670070;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABEIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujWMAR;005F0000007fBn0IAE;005F0000007fBn0IAE;;EMPERIA GASTROBAR LTDA;;;;MORADA DA COLINA;;UNICO LJ 302;EMPERIA GASTROBAR;;AVENIDA DOS VINHEDOS;12 DEZEMBRO;UBERLANDIA;BR;;48732115000105;71;10427967.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;UBERLANDIA;BR;38411-159;MG;AVENIDA DOS VINHEDOS 71 MORADA DA COLINA UNICO LJ 302;Pessoa Jurídica;;;;;0;(34)99111-9273;EMPEIRIABEERUDI@GMAIL.COM
BRASILIA;BR;72135-200;DF;Q QI 20  SETOR INDUSTRIAL TAGUATINGA A LOJA 05;72135-200;0003993952;;0818458600184;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;;005F0000007fMveIAE;;48918729 JANDIRA PEREIRA DE BRITO;;;;SETOR INDUSTRIAL TAGUATINGA;;A LOJA 05;MODESTA PIZZA;;Q QI 20;01 JANEIRO;BRASILIA;BR;;48918729000178;;10429605.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;72135-200;DF;Q QI 20  SETOR INDUSTRIAL TAGUATINGA A LOJA 05;Pessoa Jurídica;;;;;0;(61)99869-8302;PIZZAMODESTA@GMAIL.COM
PINHAIS;BR;83320-180;PR;RUA REPUBLICA DOMINICANA 253 CENTRO UNICO LOJA 14B;83320-180;0003994071;;9097889195;ISENTO;;00000000000000000000;;PR;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABGIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujyMAB;0051Y00000AEiDrQAL;0054z00000AK6YJAA1;;VILADOMI COM DE BEBIDAS E SERVICOS;;;;CENTRO;;UNICO LOJA 14B;VILADOMI COM DE BEBIDAS E SERVICOS;;RUA REPUBLICA DOMINICANA;01 JANEIRO;PINHAIS;BR;;39898270000105;253;10429662.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;PINHAIS;BR;83320-180;PR;RUA REPUBLICA DOMINICANA 253 CENTRO UNICO LOJA 14B;Pessoa Jurídica;;;;;0;(41)99957-1749;VILA.DOMINICANAPINHAIS@GMAIL.COM
PEDREIRA;BR;13920-000;SP;AVENIDA JORGE DUPRAT FIGUEIREDO 137 VILA CANESSO 1 QUIOSQ BAR;13920-000;0003994483;;519057670118;ISENTO;;00000000000000000000;;SP;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB6IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkul7MAB;0051Y00000AWcYBQA1;005F0000005NUCvIAO;;28535403 ANTENOR JOAO LUCIO FILHO;;;;VILA CANESSO;;1 QUIOSQ BAR;NOI QUIOSQUE BAR;;AVENIDA JORGE DUPRAT FIGUEIREDO;01 JANEIRO;PEDREIRA;BR;;28535403000154;137;10429964.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;PEDREIRA;BR;13920-000;SP;AVENIDA JORGE DUPRAT FIGUEIREDO 137 VILA CANESSO 1 QUIOSQ BAR;Pessoa Jurídica;;;;;0;(19)99914-8993;ANA_KROLBROGLIO@MSN.COM
GUARULHOS;BR;07034-000;SP;RODOVIA PRESIDENTE DUTRA KM 222.3  PORTO DA IGREJA UNICO LOJA B21;07034-000;0003995951;;796904598111;ISENTO;;00000000000000000000;;SP;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB0IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkul4MAB;0052A000008rC8aQAE;005F0000006F0eaIAC;;A DIVINA COMIDA 2 RESTAURANTE LTDA;;;;PORTO DA IGREJA;;UNICO LOJA B21;A DIVINA COMIDA 2 RESTAURANTE LTDA;;RODOVIA PRESIDENTE DUTRA KM 222.3;01 JANEIRO;GUARULHOS;BR;;33697960000101;;10430908.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;GUARULHOS;BR;07034-000;SP;RODOVIA PRESIDENTE DUTRA KM 222.3  PORTO DA IGREJA UNICO LOJA B21;Pessoa Jurídica;;;;;0;(11)97205-6306;FERNANDOALMEIDA00@HOTMAIL.COM
BRASILIA;BR;71904-540;DF;RUA DAS CARNAUBAS LOTE 4  NORTE AGUAS CLARAS UNICO LOJA 2;71904-540;0003996221;;0804388300144;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;0052A000009xwzgQAA;0054z0000096RlRAAU;;ATELIER DE MASSAS ARTESANAIS LUCAS;;;;NORTE AGUAS CLARAS;;UNICO LOJA 2;ATELIER DE MASSAS ARTESANAIS;;RUA DAS CARNAUBAS LOTE 4;01 JANEIRO;BRASILIA;BR;;41330993000147;;10431095.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;71904-540;DF;RUA DAS CARNAUBAS LOTE 4  NORTE AGUAS CLARAS UNICO LOJA 2;Pessoa Jurídica;;;;;0;(61)98635-1795;LUCAS.ADANATA@GMAIL.COM
BRASILIA;BR;71065-170;DF;Q QE 30 CONJUNTO Q CASA 2 GUARA II A LOJA 07;71065-170;0003995222;;0812415200177;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;005F0000006F9DxIAK;;;PIZZA MALVADONA COMERCIO DE ALIMENT;;;;GUARA II;;A LOJA 07;PIZZA MALVADONNA;;Q QE 30 CONJUNTO Q CASA;01 JANEIRO;BRASILIA;BR;;45746326000109;2;10430343.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;71065-170;DF;Q QE 30 CONJUNTO Q CASA 2 GUARA II A LOJA 07;Pessoa Jurídica;;;;;0;(61)98117-4254;ANDREGARCIA87@GMAIL.COM
BRASILIA;BR;70077-000;DF;SDN CONJUNTO A  ASA NORTE PV 2 2042;70077-000;0003995299;;0815006500195;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDvlMAF;a0BA000000BkuiyMAB;005F0000006F9DxIAK;005F0000007fMveIAE;;MLI PRODUTOS ALIMENTICIOS LTDA;;;;ASA NORTE;;PV 2 2042;PEIXE NA REDE;;SDN CONJUNTO A;01 JANEIRO;BRASILIA;BR;;47081557000168;;10430398.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;70077-000;DF;SDN CONJUNTO A  ASA NORTE PV 2 2042;Pessoa Jurídica;;;;;0;(61)99262-4641;MAURICIOBRAZ04@HOTMAIL.COM
PETROPOLIS;BR;25730-731;RJ;ESTRADA UNIAO E INDUSTRIA 10035 ITAIPAVA UNICO LOJA 221;25730-731;0003995925;;87368181;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;;0052A000007utw2QAA;;OLIVEIRA E FILHOS CONFEITARIA ARTES;;;;ITAIPAVA;;UNICO LOJA 221;FLAVINHA REZENDE CONFEITARIA;;ESTRADA UNIAO E INDUSTRIA;01 JANEIRO;PETROPOLIS;BR;;27828240000135;10035;10430889.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;PETROPOLIS;BR;25730-731;RJ;ESTRADA UNIAO E INDUSTRIA 10035 ITAIPAVA UNICO LOJA 221;Pessoa Jurídica;;;;;0;(24)98862-4187;ESCOLAFLAVINHAREZENDE@GMAIL.COM
SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A LJ 03;40024-081;0003830786;;ISENTO;ISENTO;;00000000000000000000;;BA;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABUIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujLMAR;0051Y00000AZ3dbQAD;0051Y00000AZ3dbQAD;;;;;;BARROQUINHA;;A LJ 03;SUANE SANTOS FONSECA;;AVENIDA JOSE JOAQUIM SEABRA;03 MARÇO;SALVADOR;BR;;02884176586;151;312070.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A LJ 03;Pessoa Física;;;;;0;(77)98134-2000;SUANE_FONSECA@OUTLOOK.COM
